region,district,area
Northern,Tamale,Yong
Eastern,Lower Manya Krobo,Yokuyim
Eastern,Yilo Krobo,Yokunya
Volta,Ho West,Yokpoe
Northern,Tolon District,Yoggo
Northern,Tolon District,Yoboaiyili
Northern,Gushiegu,Yiyamba
Upper East,Garu District,Yizidugu
Northern,Savelugu Municipal District,Yizegu
Northern,Tolon District,Yirong
Savannah,Central Gonja,Yiripani
Ashanti,Ejura Sekyedumase,Yireso
Western,Unknown,Yire
Western,Unknown,Yele
Western,Wassa Amenfi West,Yerase
North East,West Mamprusi,Yirango
Western,Wassa Amenfi West,Yiraboi
Upper East,North Builsa District,Yipien
Northern,Kumbumgu,Yipielugu
Northern,Tolon District,Yipiellego
Northern,Tolon District,Yipieliga
Upper East,North Builsa District,Yipala
Upper East,North Builsa District,Yimunsa
Northern,Karaga,Yilong
Northern,Sagnerigu,Yilonayile
Northern,Karaga,Yilanga
Upper East,Bawku West,Yikudugu
Upper East,Bolgatanga Municipal District,Yikene
Upper East,Bongo District,Yidongo
Eastern,Upper Manya Krobo,Yidawm
Savannah,Bole,Yidala
Upper East,Bawku West,Yiboni
Northern,Karaga,Yibiye
Upper West,Wa,Yebile
Volta,Central Tongu,Yevuyibawkofe
Upper East,Kassena Nankana,Yitonia
Upper East,Unknown,Yariga
Upper East,Pusiga,Yariga
Central,Assin South,Yerewuhu
North East,East Mamprusi,Yeregu
Northern,Unknown,Yerada
Northern,Sagnerigu,Yepasi
Upper East,Bolgatanga Municipal District,Yepala
North East,East Mamprusi,Yepala
Ashanti,Adansi South,Yensia
Western North,Aowin/Suaman,Yensakrom
Central,Gomoa East,Yenku
Western,Wassa Amenfi West,Yeniakrom
Northern,Yendi,Yendi
Upper East,Bawku West,Yeliwojo
Upper East,Kassena Nankana West,Yelania
North East,Bunkpurugu Nakpanduri District,Yekezia
Bono East,Pru,Yegyi
Northern,Karaga,Yegiba
Bono East,Nkoranza North District,Yefri
Eastern,Asuogyaman,Yede
Western North,Aowin/Suaman,Yebwakrom
Central,Mfatseman,Yebuakwa
Eastern,Ayensuano,Yeboaman
Western North,Aowin/Suaman,Yebikwaukrom
Upper East,Talensi-Nabdam,Yazore
Western,Wassa Amenfi West,Yayaso
Bono,Unknown,Yaya Forest Reserve
Western,Unknown,Yaya
Eastern,Fanteakwa,Yaya
Ashanti,Mampong,Yawnso
North East,Chereponi,Yawgu
Central,Cape Coast,Yawanu
Ashanti,Sekyere Central,Yawajai
Western North,Aowin/Suaman,Yauso
Western North,Unknown,Yau
Western North,Aowin/Suaman,Yau
Bono,Banda,Yatunrun
Upper East,Unknown,Yasuntinga
Ashanti,Bosomtwe,Yasi
Ashanti,Adansi South,Yasantekrom
North East,East Mamprusi,Yaroyiri
Upper West,Wa East,Yaro
Savannah,North Gonja,Yarizori
Upper East,Bolgatanga Municipal District,Yarigabisi
Upper East,Binduri District,Yaragungu
Savannah,Central Gonja,Yapei
Northern,Tamale,Yapalsi
Northern,Nanumba North,Yapala
Northern,Tatale-Sangule District,Yaoyili
Central,Upper Denkyira East,Owusukurom
Volta,South Tongu District,Yaopaw
Central,Twifo Ati-Morkwa,Yaomensakrom
Central,Twifo Hemang Lower Denkyira,Yaomensakrom
Central,Agona West,Yaomansonkura
Central,Twifo Ati-Morkwa,Yao Kwantikrom
Ashanti,Bosomtwe,Yaokwakwakrom
Ashanti,Atwima Kwanwoma,Yaokwachikrom
Bono,Dormaa,Yawkurom
Ashanti,Amansie West,Yaokrom
Western,Prestea-Huni Valley,Yaokrom
Bono East,Atebubu-Amantin District,Yaokawkaw
Ashanti,Asante Akim North,Yaohiamankrom
Western,Mpohor/Wassa East,Yaofiankukrom
Ashanti,Atwima Mponua,Yaobuokrom
Western,Wassa Amenfi Central,Yaoboachikrom
Ashanti,Asante Akim North,Yaoamponsakrom
Ashanti,Adansi South,Yaw Owusukurom
Western North,Aowin/Suaman,Yankoman
Western,Ahanta West,Yankakrom
Upper East,Builsa South,Yandawa
Savannah,Central Gonja,Yamusayiri
Central,Mfatseman,Yamoransa
Upper East,Talensi-Nabdam,Yamnega
Ahafo,Tano North,Yamfo
Western North,Bia,Yamatwa
Ahafo,Asunafo North,Yamensakrom
Central,Komenda/Edina/Eguafo/Abirem,Yamen
Northern,Gushiegu,Yamboai
Western North,Aowin/Suaman,Yamaso
Northern,Karaga,Yemo-karaga
North East,West Mamprusi,Yama
Volta,Ketu South District,Yama
Upper East,Binduri District,Yalugu
Upper East,Garu District,Yalugu
Upper East,Talensi-Nabdam,Yale
Upper West,Wa East,Yala
Western,Tarkwa Nsuaem,Yakwakrom
North East,Chereponi,Yakpaga Mbureka
Northern,Saboba,Yakpaba
Ashanti,Asante Akim South District,Yakorikrom
Western North,Aowin/Suaman,Yakokokrom
Eastern,Ayensuano,Yakoko
Central,Twifo Hemang Lower Denkyira,Yakesi
Western,Ahanta West,Nyaako
Western North,Aowin/Suaman,Yakase
Upper West,Wa East,Jakanibe
Greater Accra,Ada East,Yakakope
Greater Accra,Ga South,Yakagbomokpehe
Northern,Gushiegu,Yakabokaw
Upper East,Bongo District,Yaka
Upper East,Bawku West,Yaka
Bono East,Pru,Yajau
Volta,Ketu South District,Yahuni
Greater Accra,Ga West,Yaawoman
Savannah,East Gonja,Yahaiyape
Upper East,Kassena Nankana,Yigwania
Upper West,Jirapa,Yagha
North East,Mamprugo Moaduri District,Yagaba
Northern,Karaga,Yaga
Ashanti,Adansi South,Yawdome
Ahafo,Asunafo South,Yadipebepo
Upper East,Bawku West,Tanga Yade Bode
Savannah,North Gonja,Yabum
Western,Ahanta West,Yaabew
Bono East,Kintampo South District,Yabraso
Bono East,Atebubu-Amantin District,Yabraso
Northern,Tolon District,Yabologu
Northern,Gushiegu,Yabogo
Western,Shama,Yabiw
Ashanti,Atwima Kwanwoma,Yabi
Upper East,Garu District,Yabrago
Ashanti,Bosome Freho,Yaapese
Bono,Jaman North,Yaa Manso
Central,Upper Denkyira East,Wuwuso
Central,Twifo Ati-Morkwa,Wuwuso
Western,Mpohor/Wassa East,Wuwuso
Western,Wassa Amenfi East,Wuwuoso
Volta,North Dayi,Wuve
Volta,Ketu North District,Wuti
Volta,Keta,Wuti
Volta,Akatsi South,Wute
Volta,North Dayi,Wusuta Dzigbe
Central,Twifo Ati-Morkwa,Wusuaba
Oti,Biakoye,Wurupong
Upper East,Kassena Nankana West,Wurunia
Eastern,Ayensuano,Wuruduwurudu
Eastern,Upper West Akim,Wuruduwurudu
Upper West,Sissala East,Wuru
Volta,Akatsi South,Wuropo
Bono,Tain,Wurompon
Ashanti,Adansi South,Wuriyiye
Upper East,Garu District,Warinyanga
Upper East,Garu District,Werichingu
Ashanti,Adansi South,Wuratrim
Central,Assin North,Wuratinkong
Ashanti,Atwima Mponua,Wuramumuso
Central,Assin North,Wurakese
North East,Bunkpurugu Nakpanduri District,Wuragbane
Upper East,Builsa South,Wupiensa
Greater Accra,Ada West,Wuonyi
Ashanti,Bosomtwe,Wunu
North East,West Mamprusi,Wungu
North East,East Mamprusi,Wundua
North East,West Mamprusi,Wulugu
Volta,Akatsi South,Wulite
Northern,Mion,Wuli
Northern,Nanumba South,Wulasi
Volta,Afadzato South,Wuinta
Volta,North Tongu,Wuho
Upper West,Nadowli,Wuchema
Volta,South Dayi,Wudome
Volta,Agotime Ziope,Wudjerike
Volta,Hohoe,Wudidi
Volta,Adaklu,Wudede
Volta,Adaklu,Wubanya
Ashanti,Adansi South,Wumase
Volta,Ketu South District,Wowekofe
Northern,Tamale,Wovogel
Ashanti,Kumasi,Woti
Ashanti,Amansie Central,Roroso Number Two
Ashanti,Unknown,Woramumu
Upper East,Garu District,Warikambo
Oti,Biakoye,Worawora
Ashanti,Sekyere Afram Plains,Woraso
Ashanti,Sekyere Afram Plains,Wono
Central,Twifo Ati-Morkwa,Wonko
Central,Agona West,Woniatu
Western,Tarkwa Nsuaem,Mandahuni
Ashanti,Unknown,Womu
Central,Upper Denkyira West,Wompam
Volta,South Tongu District,Womenyi
North East,Chereponi,Womati
Ashanti,Kumasi,Wamase
Volta,Afadzato South,Woliliga
Greater Accra,Shai Osudoku District,Wokumagbe
Volta,Central Tongu,Wokpoe
Upper East,Kassena Nankana,Wojiengo
Upper West,Daffiama Bussie Issa District,Wogu
Ahafo,Unknown,Woferi
Eastern,Lower Manya Krobo,Woekpe
Volta,Keta,Woe
Volta,Afadzato South,Wodze
Volta,North Dayi,Wodemahe
Central,Asikuma/Odoben/Brakwa,Wochiu
Northern,Kumbumgu,Woba
Ashanti,Unknown,Wiwi
Volta,Akatsi South,Wive
Volta,Ketu South District,Weve
Greater Accra,Ga West,Wiriman
Ashanti,Atwima Nwabiagya,Wioso
Ashanti,Atwima Kwanwoma,Winsa
Central,Effutu,Winneba
Upper East,Talensi-Nabdam,Winkogo
Ashanti,Atwima Kwanwoma,Winisosechikrom
Ashanti,Atwima Kwanwoma,Winiso-Akrampa
Ashanti,Atwima Kwanwoma,Winiso
Upper East,Kassena Nankana,Wingo
Upper East,Talensi-Nabdam,Winduri
Eastern,Upper West Akim,Winang
Upper East,Binduri District,Winaba
Upper West,Sissala West,Wiiro
Upper East,Bawku West,Weari
North East,Mamprugo Moaduri District,Wiema
Greater Accra,Shai Osudoku District,Widokom
Upper East,Bawku West,Widinaba Natinga Kalensi
Central,Komenda/Edina/Eguafo/Abirem,Wibame
Ashanti,Sekyere Central,Wiawso
Ashanti,Ahafo Ano South,Wioso
Ashanti,Asante Akim North,Wiawso
Ashanti,Bekwai,Wiawso
Ashanti,Adansi North,Wioso
Eastern,Birim North,Wiawso
Western North,Sefwi-Wiawso,Sefwi Wiawso
Western,Nzema East,Wiawso
Upper East,Builsa South,Wiasi
Bono East,Sene,Wiasi
Ashanti,Sekyere South,Wiamuasi
Upper East,North Builsa District,Wiaga-Yisobsa
Western,Mpohor/Wassa East,Wiafi
Northern,Kpandai,Wiae
Greater Accra,Accra,Wiaboman
Ashanti,Asante Akim North,Whetiwheti
Western North,Aowin/Suaman,Weyem
Bono,Unknown,Wewa
Bono,Banda,Wewa
Volta,Ho West,Weto
Volta,South Dayi,Weto
Volta,Ketu South District,Wetakofe
Volta,Ketu North District,Weta
Western,Ahanta West,Nzama
Western,Unknown,Western Region
Northern,Saboba,Wesandaw
Northern,Tolon District,Wervi
Bono,Unknown,Werewere
Central,Twifo Ati-Morkwa,Weremaso
Volta,Akatsi South,Wenu
Northern,Kumbumgu,Weni
North East,East Mamprusi,Wenden
North East,Chereponi,Wenchiki
Bono,Wenchi,Wankyi
Ashanti,Offinso Municipal District,Wankyi
Ashanti,Asante Akim South District,Wenchi
Western North,Bibiani/Ahwiaso/Bekwai,Wenkyi
Ashanti,Adansi South,Wenchi
Upper East,Garu District,Wempisi Bugri
Bono East,Kintampo South District,Wella
Greater Accra,Ga South,Weija
Upper East,Bawku West,Wiig
Volta,Hohoe,Wegbe
Volta,South Dayi,Wegbe
Upper West,Wa West,Wechiau
Upper East,Unknown,Wazugu
Volta,Adaklu,Wayanu
Volta,Adaklu,Waya
Northern,Gushiegu,Wawu
Volta,Central Tongu,Wawmya
North East,Chereponi,Wanjaga
Upper East,Talensi-Nabdam,Wawgo
North East,Chereponi,Wawaso
Ashanti,Afigya-Kwabre District,Wawase
Ashanti,Asante Akim North,Wawasi
Ashanti,Bekwai,Wawasi
Ashanti,Obuasi,Wawasi
Eastern,Birim South,Wawasi
Eastern,Ayensuano,Wawasi
Central,Assin North,Wawasi
Central,Twifo Hemang Lower Denkyira,Wawasi
Western,Prestea-Huni Valley,Wawasi
Western,Shama,Wawasi
Ashanti,Asante Akim North,Wawaduhi
North East,Chereponi,Wawabiri
Ashanti,Amansie West,Watreso
Central,Twifo Hemang Lower Denkyira,Watreso
Western,Unknown,Watrem
Western,Wassa Amenfi Central,Watrem
Bono East,Atebubu-Amantin District,Watoro
Volta,Afadzato South,Liati Wote
Volta,Akatsi District,Wasu
Western,Ellembelle,Wasoi
Bono East,Sene East,Waso
Savannah,Bole,Wasipe
Northern,Saboba,Wasendaw
Western,Wassa Amenfi East,Amanokrom
Western,Wassa Amenfi Central,Wasaw-Kumasi
Greater Accra,Ada East,Wasakuse Wayo
Western,Prestea-Huni Valley,Wasadimunu
Western North,Aowin/Suaman,Wasabrampa
Central,Asikuma/Odoben/Brakwa,Wasabiampa
Central,Gomoa West,Wasa
Northern,Tatale-Sangule District,Warlung
Ashanti,Asante Akim North,Waraponso
Western,Prestea-Huni Valley,Warababa
Central,Komenda/Edina/Eguafo/Abirem,Warababa
Northern,Saboba,Wapuli
Western,Mpohor,Wanyasem
Northern,Tolon District,Wantugu
Western,Wassa Amenfi East,Wantram
Eastern,Ayensuano,Wansanbirampa
Eastern,Akuapim South,Wansanbirampa
Eastern,West Akim,Wansanbirampa
Northern,Saboba,Wanpale
Upper East,Kassena Nankana West,Wania
Savannah,East Gonja,Wangasi Turu
North East,East Mamprusi,Wangao
Eastern,Denkyembour,Wanchi
Eastern,Suhum/Kraboa/Coaltar,Wanabenya
Bono,Dormaa East,Wamfie
Northern,Saboba,Wambu
Savannah,Central Gonja,Wambong
Central,Twifo Ati-Morkwa,Wamaso
Ashanti,Adansi South,Wamasi
Bono,Dormaa East,Wamanfo
Ahafo,Asutifi,Wamahiniso
Ashanti,Obuasi,Wamahin
Bono,Unknown,Wam
Upper West,Unknown,Walifuo
Volta,North Dayi,Walibu
North East,West Mamprusi,Walewale
Upper West,Sissala East,Walembele
Northern,Nanumba North,Wald
Northern,Tolon District,Walbogo
Northern,Tolon District,Wala
Savannah,Central Gonja,Wala
Central,Mfatseman,Wakram
Northern,Gushiegu,Wakpon
Volta,Adaklu,Wakbe
Upper West,Daffiama Bussie Issa District,Wahabu
Ashanti,Unknown,Waha
North East,Chereponi,Wogu
Upper East,Garu District,Wad
Savannah,Bole,Wakawaka
North East,Bunkpurugu Nakpanduri District,Wagagu
Northern,Saboba,Waduru
North East,East Mamprusi,Wadure
Western,Ahanta West,Nwuroyekrom
Northern,Saboba,Wadigo
Central,Effutu,Wadabeba
Central,Agona West,Wadababa
Northern,Saboba,Wabuli
North East,East Mamprusi,Wabuguli
Ashanti,Ejisu Juaben,Wabri
North East,Chereponi,Wabiri
Ashanti,Sekyere Afram Plains,Wabin
Northern,Gushiegu,Wabalanum
Savannah,Unknown,Wa
Upper West,Wa,Wa
Volta,North Dayi,Wa
Northern,Nanumba North,Vwusi
Upper East,Kassena Nankana,Vunania
Volta,Central Tongu,Vuti
Volta,Adaklu,Vutadji
Volta,Akatsi South,Vuta
Volta,North Tongu,Vupe
Upper East,Builsa South,Vundum
Volta,Adaklu,Vumenu
Volta,South Dayi,Vume
Volta,Ketu North District,Vume
Volta,Ketu North District,Vukofe
Volta,Agotime Ziope,Vujekpo
Volta,Keta,Vui
Volta,Akatsi South,Vuho
Volta,Adaklu,Vugangome
Volta,Agotime Ziope,Vudjanuko
Volta,Agotime Ziope,Vudasi
Volta,Ketu South District,Wudoabra
Volta,Ketu North District,Vu
Bono East,Kintampo North Municipal District,Vornyeanu
Volta,North Tongu,Vomi
Volta,Ketu North District,Volu
Volta,Unknown,Volta Region
Volta,Unknown,Volta River
Volta,North Tongu,Volo
Greater Accra,Shai Osudoku District,Volivo
Volta,Akatsi South,Vokokofe
Volta,Central Tongu,Vokofe
Upper East,Binduri District,Aloko
Volta,North Tongu,Vojan
Volta,Akatsi District,Vojalogwi
Volta,North Tongu,Vojakpe
Northern,Kumbumgu,Voggo
Volta,Adaklu,Vodje
Volta,Ketu North District,Vitokofe
Northern,Tamale,Vitin
Volta,Central Tongu,Vijurulu
Volta,Akatsi South,Viglukofe
Volta,Ketu South District,Viefegula
Volta,Ketu South District,Viepe
Volta,Ketu North District,Veve
Upper West,Unknown,Velere
Volta,North Tongu,Vesekpo
Northern,Kumbumgu,Verijerro
Upper West,Wa West,Vieri
Volta,Akatsi South,Vemeve
Volta,Keta,Veme
Upper West,Sissala East,Vembeli
Volta,Akatsi South,Vedomi
Upper East,Bongo District,Vea
Upper East,Garu District,Varikago
Northern,Kumbumgu,Vargung
Upper East,Builsa South,Vare
Upper West,Lawra,Vapuo
Upper West,Jirapa,Vapor
Savannah,East Gonja,Vano
Northern,Kumbumgu,Vani
Volta,Ho West,Vane
Upper East,Garu District,Vambara
Upper West,Wa West,Varinpare
Volta,North Dayi,Vakpo
Volta,Akatsi South,Vachive
Upper East,Builsa South,Uwasi
Greater Accra,Shai Osudoku District,Utekoche
Upper West,Unknown,Upper West Region
Western,Unknown,Upper Wasaw Forest Reserve
Greater Accra,Shai Osudoku District,Upper Town
Western,Nzema East,Upper Town
Upper East,Unknown,Upper East Region
Ashanti,Ejura Sekyedumase,Unya
Western,Unknown,Nveye
Volta,Afadzato South,Unke
Volta,Akatsi South,Ungokofe
Volta,Akatsi South,Unblele
Northern,Nanumba North,Umpigo
Upper West,Jirapa,Ulo
Eastern,Asuogyaman,Ukusi
Bono,Unknown,Twiwa
Central,Twifo Hemang Lower Denkyira,Twitwine
Ashanti,Atwima Kwanwoma,Twindurasi
Central,Upper Denkyira West,Maudaso
Bono,Dormaa,Twumkurom
Eastern,Kwahu South,Twindorasi
Central,Twifo Ati-Morkwa,Twifu Praso
Ashanti,Ejisu Juaben,Twiapiasi
Ashanti,Amansie West,Twiapiasi
Ashanti,Bosome Freho,Twiapiasi
Ashanti,Amansie Central,Tweapease
Central,Upper Denkyira East,Twiapiasi
Western,Jomoro,Twengabo
Western,Jomoro,Twenani
Ashanti,Atwima Kwanwoma,Twedee
Upper West,Jirapa,Twadi
North East,East Mamprusi,Tuzia
Northern,Mion,Tuya
Western,Prestea-Huni Valley,Tuwuhufu
Northern,Mion,Tuwua
Eastern,Kwahu South,Tutuojiram
North East,Mamprugo Moaduri District,Tutu
Eastern,Akuapim North,Tutu
Savannah,East Gonja,Turumi
Upper West,Lawra,Tuori
Northern,Gushiegu,Tuosanga
North East,Bunkpurugu Nakpanduri District,Tuobongo
North East,Chereponi,Tuobongo
Bono East,Techiman Municipal District,Tuobodum
Volta,Keta,Tunu
Western North,Aowin/Suaman,Tuntrasi
North East,Chereponi,Tunsuga
Northern,Tolon District,Tunggweli
Northern,Karaga,Tunge
Upper East,Bawku West,Tuni
North East,East Mamprusi,Tundi
North East,East Mamprusi,Tunda
Savannah,Sawla-Tuna-Kalba,Tuna
Upper West,Sissala East,Tumu
Ashanti,Bosome Freho,Tumiabu
Central,Assin South,Tumfukro
Eastern,Atiwa,Tumfa
Western,Nzema East,Tumentu
North East,Chereponi,Tumbo
Ashanti,Offinso Municipal District,Twumase
Savannah,Central Gonja,Tuluwe
Upper East,Talensi-Nabdam,Tula
Western North,Aowin/Suaman,Tukukrom
North East,Chereponi,Tukpandi
Eastern,Lower Manya Krobo,Tuklue
Upper West,Jirapa,Tugu
Northern,Tamale,Tugu
Northern,Karaga,Tugbwini
Central,Twifo Ati-Morkwa,Tufoi
Western,Ahanta West,Tuesi
Upper West,Daffiama Bussie Issa District,Tueri
Upper East,Garu District,Tubongu
Volta,Ketu South District,Tsubrukoe
Volta,Central Tongu,Tuawve
Central,Upper Denkyira East,Tuatam
Bono,Dormaa East,Tuasuano
Volta,South Tongu District,Tuanikofe
Central,Abura/Asebu/Kwamankese,Tuakwa
Ahafo,Asunafo North,Tuakrom
Western,Unknown,Tuaba
Northern,Tamale,Tua
Volta,South Tongu District,Tsrekume
Volta,Ho West,Tsome
Volta,North Dayi,Tsoho
Volta,Ho West,Tsito
Volta,Ho West,Tsiranumu
Oti,Biakoye,Tsirahi
Volta,South Tongu District,Tsinyuito
Volta,Akatsi District,Tsinuti
Volta,North Dayi,Tsikoe
Volta,Ho West,Tsikoe
Ashanti,Adansi South,Tsifufunkwanta
Volta,Ho,Tsife
Volta,Afadzato South,Tsidjeme
Volta,Ho West,Tsibu
Volta,Keta,Tsiame
Western,Secondi Takoradi,Tsiaka Bansu Point
Volta,Ho,Tsetse
Volta,Afadzato South,Tsekumakofe
Volta,Ho,Tsawunu
Volta,South Dayi,Tsate
Volta,Ketu North District,Tsafeve
Bono,Wenchi,Tromeso
Bono,Unknown,Trome
Western North,Juaboso,Trumbepo
Bono,Dormaa,Ntronan
Bono,Unknown,Tromia
Eastern,Yilo Krobo,Trom
Bono East,Atebubu-Amantin District,Trofwi
Upper East,Garu District,Terudiga
Ashanti,Ejisu Juaben,Trobokro
Northern,Karaga,Trindi
Volta,Keta,Tregui
Ashanti,Atwima Kwanwoma,Trede
Ashanti,Atwima Kwanwoma,Taabuom
Western,Mpohor,Trebuom
Volta,Ho West,Tre
Greater Accra,Shai Osudoku District,Trayunya
Eastern,Upper Manya Krobo,Trawa
Eastern,Yilo Krobo,Trawa
Eastern,Lower Manya Krobo,Trawa
Greater Accra,Shai Osudoku District,Trakunkope
Eastern,Birim Central,Trababi
Volta,South Tongu District,Tozikpota
Savannah,North Gonja,Toyiri
Volta,Ho West,Toyi
Upper West,Daffiama Bussie Issa District,Toyanperi
Western,Unknown,To Yo
Upper East,Bongo District,Towongo
Volta,Ketu North District,Tovi
Volta,South Dayi,Toveme
Volta,North Dayi,Tove
Volta,Ketu North District,Tove
Volta,Akatsi South,Tove
Western,Unknown,Totua Shelterbelt Forest Reserve
Western,Unknown,Tutua
Volta,South Tongu District,Totsyoanyi
Ashanti,Ahafo Ano South,Totroasi
Volta,Ho,Totoyi
Greater Accra,Ada East,Totope
Western,Prestea-Huni Valley,Totobe
Greater Accra,Ada East,Totimekope
Volta,Akatsi South,Totama
Volta,Afadzato South,Tota
Volta,North Dayi,Tota
Volta,Central Tongu,Tosukofe
Eastern,Asuogyaman,Tosan
North East,Chereponi,Tosale
Upper West,Wa East,Tosa
Savannah,East Gonja,Tori
Central,Awutu Senya,Topiasi
Volta,North Tongu,Topi
Upper West,Nandom,Tuopare
Upper West,Jirapa,Tuopari
Volta,Central Tongu,Tonyikofe
Volta,Kpando,Tonu
Volta,Ketu North District,Tonu
Western,Unknown,Tonton Forest Reserve
Western,Unknown,Tonton
Ashanti,Amansie West,Tontokurom
Northern,Mion,Tononoli
